City,Country,Latitude,Longitude,Temperature (F),Cloudiness (%),Humidity (%),Wind Speed (MPH)
Rumonge,BI,-3.97,29.44,70.95,64,62,5.12
Saint-Philippe,RE,-21.36,55.77,68.65,33,73,5.82
Port Alfred,ZA,-33.59,26.89,68.0,77,92,3.0
Khor,RU,47.89,134.95,32.14,0,76,5.35
Provost,CA,52.35,-110.27,22.59,100,87,14.92
Monster,NL,52.03,4.17,53.78,8,81,2.24
Pinsk,BY,52.12,26.1,35.98,0,70,2.82
Flin Flon,CA,54.77,-101.86,21.2,75,44,12.75
Hūn,LY,29.13,15.95,67.77,13,23,14.45
Cape Town,ZA,-33.93,18.42,64.2,75,93,19.46
Hualmay,PE,-11.1,-77.61,77.05,36,66,9.98
Iquitos,PE,-3.75,-73.25,84.2,75,74,6.93
Brodnica,PL,53.26,19.4,43.0,100,53,7.81
Lompoc,US,34.64,-120.46,64.99,20,77,17.22
Mon,IN,26.75,95.1,65.73,2,38,2.01
Otradnoye,RU,59.78,30.82,29.08,8,92,4.47
Nikolskoye,RU,59.7,30.79,29.14,5,92,4.47
Okhotsk,RU,59.38,143.3,25.39,35,94,0.58
Klaksvík,FO,62.23,-6.59,44.6,100,93,17.22
Katiola,CI,8.13,-5.1,80.4,86,60,4.45
Río Gallegos,AR,-51.62,-69.22,51.8,75,53,23.04
Bereda,ES,43.27,-7.54,54.3,90,93,2.24
Mandera,KE,3.94,41.87,82.99,35,11,1.99
San Jose,US,37.34,-121.89,61.75,20,59,8.05
Kuala Terengganu,MY,5.33,103.14,80.31,20,88,4.7
Renqiu,CN,38.7,116.09,50.31,0,36,9.55
Bambous Virieux,MU,-20.34,57.76,77.0,40,83,11.41
Steamboat Springs,US,40.48,-106.83,53.47,40,19,16.11
Shihezi,CN,44.3,86.03,52.5,88,36,5.12
Marigot,MF,18.07,-63.08,85.05,20,66,9.17
Dauphin,CA,51.15,-100.05,33.8,90,50,16.11
Abu Samrah,SY,35.3,37.18,52.43,0,71,8.16
Sungurlu,TR,40.17,34.37,45.21,11,45,3.22
Longyan,CN,25.11,117.02,50.7,25,74,4.85
Guerrero Negro,MX,27.98,-114.06,67.06,10,49,17.31
George Town,MY,5.41,100.34,81.16,20,88,2.24
Husavik,IS,66.04,-17.34,33.8,75,69,28.86
Rikitea,PF,-23.12,-134.97,77.04,78,74,1.34
Kumul,CN,42.8,93.45,54.34,54,21,4.45
Vaini,TO,-21.2,-175.2,78.8,20,69,4.7
Pasinler,TR,39.98,41.68,32.0,60,41,5.82
Diphu,IN,25.83,93.43,71.31,0,40,0.83
Karonga,MW,-9.93,33.93,74.77,72,65,6.4
Sitka,US,57.05,-135.33,47.05,20,42,5.82
Ushuaia,AR,-54.8,-68.3,42.8,75,75,26.4
Whitehorse,CA,60.72,-135.05,34.34,5,58,3.36
Garissa,KE,-0.45,39.64,81.68,100,65,16.84
Oshkosh,US,44.02,-88.54,57.22,1,33,10.29
Raudeberg,NO,61.99,5.14,45.3,100,100,18.34
Butaritari,KI,3.07,172.79,83.98,95,76,13.35
Küttigen,CH,47.42,8.05,54.52,0,57,1.12
Sungai Raya,ID,0.7,108.9,76.57,86,89,6.04
Avera,US,33.19,-82.53,73.65,1,31,5.82
Masallātah,LY,32.62,14.0,57.52,33,57,11.54
Mongo,TD,12.18,18.69,86.7,93,13,10.02
Atambua,ID,-9.11,124.89,72.64,91,80,2.66
Hobart,AU,-42.88,147.33,49.21,75,62,9.17
Nizhniy Tsasuchey,RU,50.52,115.13,42.55,0,40,5.55
Katsuura,JP,35.13,140.3,48.09,75,93,13.87
Polunochnoye,RU,60.87,60.42,34.07,100,92,1.95
Saint Paul Harbor,US,57.79,-152.41,41.0,90,75,16.11
Cabedelo,BR,-6.98,-34.83,82.4,20,78,10.29
Touros,BR,-5.2,-35.46,82.4,20,78,6.93
Broken Hill,AU,-31.95,141.43,42.8,0,70,4.7
Beloha,MG,-25.17,45.05,73.58,89,72,10.85
Cortes,ES,41.94,-1.44,60.78,75,77,10.29
Kroya,ID,-7.63,109.25,78.13,36,83,0.6
Bow Island,CA,49.87,-111.37,30.94,90,58,17.22
Clyde,US,41.3,-82.98,55.76,20,37,17.22
Tombouctou,ML,20.0,-3.0,90.28,0,10,7.74
San Ramon,US,37.78,-121.98,60.15,90,63,5.82
Naifaru,MV,5.44,73.37,84.4,3,69,4.43
Sept-Îles,CA,50.2,-66.38,42.8,75,33,17.22
Camacha,PT,33.08,-16.33,62.6,40,67,13.87
Norman Wells,CA,65.28,-126.83,26.6,75,63,11.41
Tadine,NC,-21.55,167.88,77.29,0,70,5.73
Puerto Escondido,MX,15.85,-97.07,82.4,40,78,8.05
Khovd,MN,48.01,91.64,38.35,100,39,1.74
Lüderitz,NA,-26.65,15.16,57.2,0,93,1.12
Iralaya,HN,15.0,-83.23,89.6,75,66,11.41
Pinheiro Machado,BR,-31.58,-53.38,63.37,16,71,4.88
Chui,UY,-33.7,-53.46,65.95,33,66,7.0
Gatesville,US,31.44,-97.74,70.29,90,83,11.41
Vieques,PR,18.43,-65.83,84.49,40,74,14.99
Los Llanos de Aridane,ES,28.66,-17.92,68.0,75,77,11.41
Tessalit,ML,20.2,1.01,84.04,0,11,4.94
San Joaquin,VE,10.26,-67.79,84.63,67,43,5.64
Ancud,CL,-41.87,-73.82,53.6,20,62,5.82
Tyubuk,RU,56.06,60.94,37.06,79,81,4.7
Hamilton,US,39.18,-84.53,61.29,75,25,9.17
Kloulklubed,PW,7.04,134.26,78.8,75,88,3.36
Grindavik,IS,63.84,-22.43,39.11,75,86,16.11
Cockburn Town,TC,21.46,-71.14,80.69,0,69,10.11
Ahipara,NZ,-35.17,173.17,65.52,90,77,14.65
Dunedin,NZ,-45.87,170.5,52.88,100,93,1.99
Shentala,RU,54.45,51.48,40.5,100,70,11.18
Nanortalik,GL,60.14,-45.24,37.58,100,72,28.25
Lima,PE,-12.04,-77.03,78.8,75,65,9.17
Palmer,US,42.16,-72.33,47.5,75,31,21.92
Durban,ZA,-29.86,31.03,68.54,90,94,1.12
Coquimbo,CL,-29.95,-71.34,64.4,85,72,11.41
Isangel,VU,-19.55,169.27,71.6,20,94,6.15
Lorengau,PG,-2.02,147.27,82.27,58,75,1.25
Virginia Beach,US,36.85,-75.98,62.4,1,25,9.17
Pronsk,RU,54.1,39.61,34.45,100,79,17.54
Portland,US,45.52,-122.68,57.52,40,44,3.36
Ilulissat,GL,69.22,-51.1,30.2,100,68,5.82
Bluff,NZ,-46.6,168.33,55.99,100,68,5.01
Kamenka,RU,51.32,42.77,36.0,80,82,4.0
Puli,TW,23.97,120.97,65.89,75,93,10.29
Batemans Bay,AU,-35.72,150.18,41.99,1,85,8.95
Tual,ID,-5.67,132.75,83.46,83,70,0.98
Narón,ES,43.52,-8.15,55.09,90,93,2.24
Talnakh,RU,69.49,88.4,35.6,75,80,29.08
Ailigandí,PA,9.23,-78.02,84.29,70,73,11.74
Saint George,US,37.1,-113.58,62.92,1,34,14.99
Salalah,OM,17.02,54.09,82.4,40,74,9.17
Sørland,NO,67.67,12.69,35.38,100,78,12.19
Luan,CH,46.36,6.98,51.87,27,41,3.69
Tuktoyaktuk,CA,69.45,-133.04,1.4,90,84,6.93
Dryden,CA,49.78,-92.75,33.8,90,59,13.87
Cap Malheureux,MU,-19.98,57.61,77.0,40,83,11.41
Boguchany,RU,58.38,97.45,27.82,0,94,0.94
Arraial do Cabo,BR,-22.97,-42.03,70.84,75,83,5.82
Half Moon Bay,US,37.46,-122.43,59.86,90,87,5.82
Bay Roberts,CA,47.6,-53.26,37.47,75,55,27.51
Mataura,NZ,-46.19,168.86,55.99,100,68,5.01
Alibag,IN,18.64,72.88,84.2,40,79,5.82
Khandyga,RU,62.67,135.6,25.45,100,97,5.55
Port Elizabeth,ZA,-33.92,25.57,62.6,89,63,6.93
Chernyshevskiy,RU,63.01,112.47,24.35,98,95,8.01
Kigorobya,UG,1.62,31.31,71.19,90,57,4.07
Leh,IN,34.17,77.58,32.61,5,18,1.79
Anloga,GH,5.79,0.9,84.2,20,79,8.05
Kysyl-Syr,RU,63.9,122.76,31.01,99,97,8.84
Pevek,RU,69.7,170.31,6.39,62,91,13.24
Port Moresby,PG,-9.44,147.18,75.2,40,100,3.36
Beidao,CN,34.57,105.89,42.17,0,36,3.11
Ridgecrest,US,35.62,-117.67,70.75,1,37,6.67
Turukhansk,RU,65.82,87.98,34.59,100,94,18.48
Xichang,CN,27.9,102.26,52.16,70,43,2.84
Leningradskiy,RU,69.38,178.42,12.81,94,87,3.98
Omboué,GA,-1.57,9.26,76.42,100,93,8.05
Ostrovnoy,RU,68.05,39.51,15.75,51,93,11.48
Gusau,NG,12.16,6.66,84.18,99,15,9.13
Altamont,US,42.21,-121.74,59.09,1,47,18.34
Safonovo,RU,55.15,33.22,31.42,0,85,5.64
Clyde River,CA,70.47,-68.59,8.6,75,78,12.75
Londonderry,GB,55.0,-7.31,49.93,100,86,1.97
Romny,UA,50.75,33.47,37.54,0,70,10.96
Sicamous,CA,50.83,-118.99,46.4,40,26,17.22
Upernavik,GL,72.79,-56.15,20.88,100,89,0.98
Alyangula,AU,-13.85,136.42,75.2,77,100,7.16
Medina,SA,24.47,39.61,71.6,1,10,2.24
North Platte,US,41.12,-100.77,69.6,40,30,4.7
Krasnosel'kup,RU,65.7,82.47,35.76,100,97,20.56
Salekhard,RU,66.53,66.6,11.23,0,92,7.81
Caucayá,CO,-0.19,-74.78,85.28,53,69,0.83
Weatherford,US,32.76,-97.8,65.93,90,88,9.17
Port Blair,IN,11.67,92.75,82.06,63,72,7.29
Geraldton,AU,-28.77,114.6,66.63,9,94,6.93
Port Hedland,AU,-20.32,118.57,73.4,0,78,6.93
Olhão,PT,37.03,-7.84,62.33,57,88,5.82
Saint-Augustin,CA,51.23,-58.65,32.49,100,96,5.59
Grand Forks,US,47.93,-97.03,36.97,75,55,19.46
Lodja,CD,-3.48,23.43,72.55,96,82,0.63
Kibala,TD,9.11,18.35,78.8,99,61,4.7
Hithadhoo,MV,-0.6,73.08,84.56,0,65,6.38
Abay,KZ,49.63,72.85,33.8,93,80,4.47
Yulara,AU,-25.24,130.99,57.2,100,28,6.93
Shimoda,JP,34.67,138.95,46.81,75,87,3.36
Pyn U Lwin,MM,22.03,96.47,66.88,59,42,1.41
Busselton,AU,-33.65,115.33,69.94,96,67,8.14
Kaka,TM,37.35,59.61,60.93,100,68,1.68
Rūdbār,AF,30.15,62.6,81.05,96,25,5.99
Kavieng,PG,-2.57,150.8,83.55,99,73,4.92
Santa Isabel Rio Negro,BR,-0.41,-65.02,75.15,100,94,4.68
Rognan,NO,67.1,15.39,32.2,100,55,19.46
Oistins,BB,13.07,-59.53,82.4,20,65,12.75
Kota Belud,MY,6.35,116.43,78.73,20,83,3.36
Japaratuba,BR,-10.59,-36.94,84.2,20,74,10.29
Yellowknife,CA,62.46,-114.35,17.47,20,52,13.87
Honningsvåg,NO,70.98,25.97,30.42,98,91,6.6
Aden,YE,12.78,45.04,82.13,1,78,12.15
Bar Harbor,US,44.39,-68.2,42.28,75,48,10.29
Philadelphia,US,39.95,-75.16,54.93,20,26,17.22
Kollam,IN,8.88,76.6,82.4,20,78,3.36
Krasnorechenskiy,RU,44.63,135.35,21.56,0,89,3.67
Centralia,US,46.72,-122.95,55.06,90,58,4.7
Dandong,CN,40.13,124.39,43.02,0,58,3.96
Kyakhta,RU,50.35,106.45,40.77,91,42,3.67
Patu,BR,-6.11,-37.64,81.95,56,64,8.68
Paita,PE,-5.09,-81.11,81.25,57,57,16.22
Mount Gambier,AU,-37.83,140.77,53.6,90,62,8.05
Atuona,PF,-9.8,-139.03,82.8,64,68,7.47
Miles City,US,46.41,-105.84,28.4,90,92,12.75
Tūkrah,LY,32.53,20.58,57.79,31,75,5.99
Victor Harbor,AU,-35.57,138.62,53.73,75,62,4.7
Mīnāb,IR,27.15,57.08,78.8,100,83,9.17
Longyearbyen,SJ,78.22,15.64,-5.8,20,70,3.36
Matamoros,MX,25.53,-103.25,92.07,40,6,8.05
Hilo,US,19.73,-155.09,74.21,1,69,8.05
Carnarvon,AU,-24.87,113.63,75.2,14,100,9.17
Ribeira Brava,PT,32.65,-17.07,58.46,75,67,14.99
Diébougou,BF,10.97,-3.25,89.89,71,33,7.65
Safi,MA,32.3,-9.24,62.53,90,81,14.14
Itami,JP,34.78,135.4,46.69,75,76,5.82
Zhaotong,CN,27.32,103.72,44.51,99,45,2.55
Albany,US,42.6,-73.97,44.94,75,34,14.99
Tiksi,RU,71.69,128.87,13.08,37,93,17.74
Macheng,CN,31.18,115.03,42.71,0,72,1.19
Avarua,CK,-21.21,-159.78,84.2,96,83,5.82
High Level,CA,58.52,-117.14,30.2,75,39,16.11
Cândido Mendes,BR,-1.45,-45.72,79.88,100,88,4.81
Tasiilaq,GL,65.61,-37.64,30.2,72,39,13.87
Bom Jesus,BR,-9.07,-44.36,77.83,52,77,2.08
Yenagoa,NG,4.92,6.26,76.96,99,86,3.69
Fairview,US,40.81,-74.0,53.74,20,24,11.41
Yining,CN,29.04,114.56,42.39,0,82,1.77
Kitob,UZ,39.08,66.83,62.53,100,52,6.6
Hendrina,ZA,-26.16,29.72,55.99,0,90,3.11
Meulaboh,ID,4.14,96.13,80.24,48,79,0.45
Port-Gentil,GA,-0.72,8.78,78.13,100,87,11.99
Sotik Post,KE,-0.78,35.34,58.64,73,53,5.5
Thompson,CA,55.74,-97.86,26.6,90,68,10.29
Zhezkazgan,KZ,47.8,67.71,44.85,100,56,6.46
Treinta y Tres,UY,-33.23,-54.38,66.24,71,64,4.9
Lebu,CL,-37.62,-73.65,57.85,0,55,16.91
Jumla,NP,29.27,82.18,44.73,0,22,5.26
Marzuq,YE,14.4,46.47,73.2,1,47,3.76
Galesong,ID,-5.32,119.37,77.0,20,94,6.93
Bossier City,US,32.52,-93.73,71.04,40,49,10.29
Manokwari,ID,-0.87,134.08,80.29,65,74,2.21
Cabo San Lucas,MX,22.89,-109.91,73.98,75,52,25.28
Chifeng,CN,42.27,118.96,41.54,0,43,7.16
Tashtyp,RU,52.79,89.9,31.84,0,75,1.99
Barrow,US,71.29,-156.79,8.6,90,84,11.41
Salou,ES,41.08,1.14,55.44,77,87,4.61
Oriximiná,BR,-1.77,-55.87,82.8,33,77,2.28
Cuernavaca,MX,18.92,-99.25,88.45,5,15,6.93
Bagdarin,RU,54.43,113.6,33.12,33,57,1.99
Suntar,RU,62.14,117.63,29.75,35,96,8.16
Caravelas,BR,-17.71,-39.25,79.21,62,85,11.05
Saldanha,ZA,-33.01,17.94,62.6,98,88,11.41
Saint Anthony,US,45.02,-93.22,59.67,1,21,3.36
São João da Barra,BR,-21.64,-41.05,71.6,90,94,14.99
Laas,IT,46.62,10.7,49.32,5,65,5.82
Buraidah,SA,26.33,43.98,69.8,0,35,10.29
Seoul,KR,37.57,126.98,36.3,1,93,2.68
Nioro,GM,13.35,-15.75,79.56,3,47,10.54
Tocopilla,CL,-22.09,-70.2,80.37,18,33,5.26
Sillod,IN,20.3,75.65,83.79,16,14,2.33
Ponta Delgada,PT,37.73,-25.67,59.0,20,72,13.87
Huallanca,PE,-9.9,-76.94,56.64,96,22,5.03
Mikhaylovka,RU,50.06,43.24,36.0,8,87,1.01
Santa Maria,BR,-29.68,-53.81,67.1,1,63,4.47
Conakry,GN,9.54,-13.68,82.4,20,83,13.87
Jacareacanga,BR,-6.22,-57.75,80.91,90,77,2.77
Rēzekne,LV,56.5,27.32,35.67,46,77,7.05
Satipo,PE,-11.25,-74.64,83.93,69,45,2.62
Pitimbu,BR,-7.47,-34.81,82.4,20,78,10.29
Bakchar,RU,57.02,82.07,30.13,5,98,4.45
Nouakchott,MR,18.09,-15.98,76.82,0,50,17.2
Port Macquarie,AU,-31.43,152.92,53.62,0,50,5.82
La Curva,PH,12.4,121.05,77.16,1,71,3.74
Faxinal,BR,-24.0,-51.32,65.61,1,55,1.52
Cefalù,IT,38.04,14.02,54.79,3,87,4.05
Mangan,IN,27.52,88.53,63.07,84,27,5.82
Makakilo City,US,21.35,-158.09,79.88,20,69,5.82
Port Augusta,AU,-32.5,137.77,49.53,0,76,10.29
Rurrenabaque,BO,-14.44,-67.53,84.27,9,44,3.89
Bluefield,US,37.27,-81.22,58.15,90,23,11.41
East London,ZA,-33.02,27.91,74.39,94,67,3.02
Nārāyanpet,IN,16.73,77.5,78.93,0,30,5.39
Rexburg,US,43.83,-111.79,54.48,20,44,9.17
Garoua Boulaï,CM,5.88,14.55,65.46,100,69,1.52
Kavaratti,IN,10.57,72.64,84.34,0,68,3.31
Krasnyye Chetai,RU,55.69,46.14,35.04,100,83,13.27
Luchegorsk,RU,46.48,134.26,31.42,34,86,3.02
Ponta do Sol,PT,32.67,-17.1,58.59,75,67,14.99
Richards Bay,ZA,-28.78,32.04,72.9,77,78,15.77
Nuevo Progreso,MX,23.17,-97.95,88.5,72,54,14.12
Khatanga,RU,71.97,102.5,-1.05,32,93,8.01
Tevaitoa,PF,-16.78,-151.5,83.64,96,75,11.43
Mokhsogollokh,RU,61.47,128.92,31.03,96,94,4.16
Lovozero,RU,68.0,35.01,17.78,32,87,4.18
Fortuna,US,40.6,-124.16,55.35,75,87,17.22
Coração de Jesus,BR,-16.69,-44.37,72.1,81,72,0.43
Wasilla,US,61.58,-149.44,35.65,1,37,4.7
Puerto Madryn,AR,-42.77,-65.04,64.71,0,24,14.92
Severo-Kuril'sk,RU,50.68,156.12,29.23,63,93,8.57
Margate,GB,51.38,1.39,55.6,34,87,3.36
Kostyantynivka,UA,48.53,37.71,42.13,79,66,11.65
Kaitangata,NZ,-46.28,169.85,52.0,92,93,1.01
Mattru,SL,7.62,-11.83,80.26,80,77,4.14
Nikel,RU,69.41,30.22,23.0,20,73,13.87
Roald,NO,62.58,6.13,44.53,100,76,19.46
Vila Franca do Campo,PT,37.72,-25.43,59.0,20,72,13.87
Bandarbeyla,SO,9.49,50.81,81.72,16,73,10.22
Itarema,BR,-2.92,-39.92,80.35,100,84,6.38
Bredasdorp,ZA,-34.53,20.04,71.33,100,56,17.22
Tagusao,PH,9.19,117.81,79.9,3,79,1.39
Ternate,ID,0.8,127.4,78.85,2,82,5.06
Bonavista,CA,48.65,-53.11,36.0,25,76,15.99
Nome,US,64.5,-165.41,28.4,40,86,10.29
Celestún,MX,20.87,-90.4,87.76,31,51,10.65
Mandalgovi,MN,45.76,106.27,37.06,0,35,11.72
Mar del Plata,AR,-38.0,-57.56,68.43,37,60,9.17
Sambava,MG,-14.27,50.17,75.76,2,84,9.01
Ulladulla,AU,-35.35,150.47,42.94,0,57,12.75
Noumea,NC,-22.28,166.46,74.39,31,73,3.36
Ketchikan,US,55.34,-131.65,47.48,1,34,14.99
Trincomalee,LK,8.57,81.23,80.56,2,80,4.61
Esperance,AU,-33.87,121.9,69.8,98,60,18.34
Wake Forest,US,35.98,-78.51,65.82,1,23,6.93
Adrar,MR,20.5,-10.07,85.59,0,12,10.56
Chara,RU,56.91,118.26,33.85,100,59,2.04
São Filipe,CV,14.9,-24.5,75.61,86,73,12.48
‘Ewa Beach,US,21.32,-158.01,79.93,75,61,12.75
New Norfolk,AU,-42.78,147.06,48.81,75,62,9.17
Ürümqi,CN,43.8,87.6,48.2,70,49,4.47
Coracora,PE,-15.03,-73.78,59.41,2,17,10.25
Torbay,CA,47.67,-52.73,37.56,75,55,27.51
Helena,US,46.59,-112.04,28.26,90,68,17.22
Kerman,IR,30.28,57.08,68.0,100,32,16.11
Madison,US,34.73,-86.57,69.03,40,22,11.41
Yambio,SS,4.57,28.4,69.3,100,78,2.98
Faya,SA,18.39,42.45,65.3,44,55,1.81
Ayan,RU,56.45,138.17,30.15,0,91,9.06
Kenai,US,60.55,-151.26,35.2,1,47,12.75
Tautira,PF,-17.73,-149.15,87.8,100,62,3.36
Oktyabr'skiy,RU,54.48,53.47,40.82,100,81,7.61
Vila Velha,BR,-20.33,-40.29,75.61,90,88,6.93
Praia da Vitória,PT,38.73,-27.07,64.4,20,77,11.27
Souillac,MU,-20.52,57.52,77.0,40,83,11.41
Alta Floresta,BR,-9.88,-56.09,77.16,75,87,4.56
Lata,PT,40.16,-8.33,56.35,75,87,6.93
Iwanai,JP,42.97,140.51,32.27,4,89,2.57
Arrondissement de Clermont,FR,49.5,2.42,59.85,44,71,3.36
Bengkulu,ID,-3.8,102.27,78.55,37,81,3.58
Esmeralda,CU,21.85,-78.12,92.19,0,38,10.45
Alice Springs,AU,-23.7,133.88,57.2,5,23,5.82
Arlit,NE,18.74,7.39,86.47,7,12,4.12
Bilma,NE,18.69,12.92,81.48,100,14,5.97
Banda Aceh,ID,5.56,95.32,80.22,46,80,3.96
Iqaluit,CA,63.75,-68.51,23.0,75,79,16.11
Bad Liebenwerda,DE,51.52,13.4,42.03,79,56,1.12
Naze,JP,28.37,129.48,66.2,75,93,11.41
Nuuk,GL,64.18,-51.72,35.29,90,69,9.17
Kargasok,RU,59.06,80.86,33.08,65,94,5.88
